Estado Nome,1,2,3,4,5,6,7,8,9,10,11
Acre,0,0,0,17,42,50,99,195,311,817,1177
Alagoas,0,1,1,9,18,32,72,210,777,1606,2033
Amazonas,0,0,1,47,175,636,1484,2270,4337,8109,10727
Amapá,0,0,0,1,10,48,307,457,918,1931,2322
Bahia,0,2,3,76,213,456,759,1489,2540,4040,4818
Ceará,0,0,5,182,390,1051,2005,3716,6918,11470,14956
Distrito Federal,0,1,22,160,332,492,651,881,1213,1818,2442
Espírito Santo,0,1,1,33,84,209,463,1212,1874,3402,4242
Goiás,0,0,6,27,65,133,284,421,661,922,1053
Maranhão,0,0,0,8,31,172,478,1396,2528,4530,5909
Minas Gerais,0,1,7,130,275,559,884,1230,1649,2452,2943
Mato Grosso do Sul,0,0,4,23,48,80,115,173,240,283,326
Mato Grosso,0,0,0,7,25,78,138,181,261,365,457
Pará,0,0,0,5,32,138,323,1026,2262,4472,6141
Paraíba,0,0,0,3,17,36,136,263,633,1361,2031
Pernambuco,0,0,16,42,87,352,1284,2908,5724,9325,11587
Piauí,0,0,0,6,18,28,58,186,408,875,1131
Paraná,0,0,6,65,179,503,791,1024,1271,1588,1711
Rio de Janeiro,0,8,33,305,708,1688,3410,5306,8504,12391,15741
Rio Grande do Norte,0,0,1,13,82,254,376,608,857,1536,1821
Rondônia,0,0,0,3,8,18,64,199,413,861,1222
Roraima,0,0,0,2,16,42,113,247,425,869,1124
Rio Grande do Sul,0,1,10,98,274,508,700,904,1286,1815,2447
Santa Catarina,0,0,7,107,219,417,826,1063,1476,2623,3205
Sergipe,0,0,4,15,19,36,45,92,280,898,1438
São Paulo,2,19,164,810,2339,5682,9371,15385,24041,34053,41830
Tocantins,0,0,0,7,11,19,26,37,79,303,494
